Article DOI,journal,year,publisher
10.1021/jm9602571,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1016/j.chembiol.2013.07.014,Chemistry &amp; Biology,2013.0,Elsevier BV
,Error: 404 Client Error: Not Found for url: https://api.crossref.org/works/nan,,
10.1021/jm9507183,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1126/science.2200122,Science,1990.0,American Association for the Advancement of Science (AAAS)
10.1021/ja00082a004,Journal of the American Chemical Society,1994.0,American Chemical Society (ACS)
10.1021/jm960022p,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm020230j,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1074/jbc.273.49.32608,Journal of Biological Chemistry,1998.0,Elsevier BV
10.1016/0960-894X(95)00461-2,Bioorganic &amp; Medicinal Chemistry Letters,1995.0,Elsevier BV
10.1016/0960-894X(95)00507-P,Bioorganic &amp; Medicinal Chemistry Letters,1995.0,Elsevier BV
10.1021/jm001024j,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm001134q,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm00059a019,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm00054a015,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm990281p,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm00054a014,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm950874+,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00034a016,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm960541s,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960128k,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm0011171,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm00073a011,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm00073a012,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm950717a,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm0011169,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm980637h,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm0204587,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/jm990336n,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm00107a050,Journal of Medicinal Chemistry,1991.0,American Chemical Society (ACS)
10.1073/pnas.91.9.4096,Proceedings of the National Academy of Sciences,1994.0,Proceedings of the National Academy of Sciences
10.1021/jm00026a002,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00046a002,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/bi035701y,Biochemistry,2003.0,American Chemical Society (ACS)
10.1021/jm00011a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1128/AAC.37.4.810,Antimicrobial Agents and Chemotherapy,1993.0,American Society for Microbiology
10.1021/jm010414i,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm021079g,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/bi027019u,Biochemistry,2003.0,American Chemical Society (ACS)
10.1021/jm00107a051,Journal of Medicinal Chemistry,1991.0,American Chemical Society (ACS)
10.1021/jm9910371,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm950641i,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00088a003,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm00028a001,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00041a005,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00038a005,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00045a013,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00043a006,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm9802158,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm00088a004,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm00099a006,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm970081i,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9803626,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm960728j,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm950888f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9508696,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9606608,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm00113a025,Journal of Medicinal Chemistry,1991.0,American Chemical Society (ACS)
10.1021/jm00099a007,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm00069a011,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm960441m,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm00024a010,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00024a011,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00111a045,Journal of Medicinal Chemistry,1991.0,American Chemical Society (ACS)
10.1021/jm980255b,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm970524i,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm0004906,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm970615f,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm00025a010,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00018a023,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960158n,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm00088a027,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm960837y,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm9707030,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm7015057,Journal of Medicinal Chemistry,2008.0,American Chemical Society (ACS)
10.1021/jm9707028,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm950639r,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1016/s0968-0896(99)00215-1,Bioorganic &amp; Medicinal Chemistry,1999.0,Elsevier BV
10.1021/jm00113a036,Journal of Medicinal Chemistry,1991.0,American Chemical Society (ACS)
10.1021/jm00060a002,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm00061a022,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm00062a027,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm990383f,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm010853h,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm950568w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm980260f,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm9901125,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm010904a,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1016/s0960-894x(99)00664-2,Bioorganic &amp; Medicinal Chemistry Letters,2000.0,Elsevier BV
10.1021/jm960802y,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm00017a010,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1016/0968-0896(96)00075-2,Bioorganic &amp; Medicinal Chemistry,1996.0,Elsevier BV
10.1021/jm0211063,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1021/jm0309856,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm00006a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm970522y,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1016/s0960-894x(99)00360-1,Bioorganic &amp; Medicinal Chemistry Letters,1999.0,Elsevier BV
10.1016/0968-0896(96)00134-4,Bioorganic &amp; Medicinal Chemistry,1996.0,Elsevier BV
10.1021/jm00079a024,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm00053a003,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm990095j,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm9800595,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm010212m,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1016/s0968-0896(01)00282-6,Bioorganic &amp; Medicinal Chemistry,2002.0,Elsevier BV
10.1016/s0968-0896(02)00095-0,Bioorganic &amp; Medicinal Chemistry,2002.0,Elsevier BV
10.1021/jm990343b,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1016/s0960-894x(99)00675-7,Bioorganic &amp; Medicinal Chemistry Letters,2000.0,Elsevier BV
10.1021/jm990580e,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1016/s0960-894x(01)00239-6,Bioorganic &amp; Medicinal Chemistry Letters,2001.0,Elsevier BV
10.1016/s0960-894x(99)00486-2,Bioorganic &amp; Medicinal Chemistry Letters,1999.0,Elsevier BV
10.1016/s0960-894x(99)00565-x,Bioorganic &amp; Medicinal Chemistry Letters,1999.0,Elsevier BV
10.1016/s0960-894x(00)00321-8,Bioorganic &amp; Medicinal Chemistry Letters,2000.0,Elsevier BV
10.1016/s0960-894x(01)00331-6,Bioorganic &amp; Medicinal Chemistry Letters,2001.0,Elsevier BV
10.1021/jm970124v,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1016/0960-894X(94)00458-R,Bioorganic &amp; Medicinal Chemistry Letters,1995.0,Elsevier BV
10.1021/jm9802259,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm00041a023,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00054a009,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1016/0960-894X(95)00365-Z,Bioorganic &amp; Medicinal Chemistry Letters,1995.0,Elsevier BV
10.1016/0960-894X(95)00382-4,Bioorganic &amp; Medicinal Chemistry Letters,1995.0,Elsevier BV
10.1021/jm00084a004,Journal of Medicinal Chemistry,1992.0,American Chemical Society (ACS)
10.1021/jm960581w,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm020018f,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1016/0960-894X(95)00361-V,Bioorganic &amp; Medicinal Chemistry Letters,1995.0,Elsevier BV
10.1021/jm00018a008,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm00019a007,Journal of Medicinal Chemistry,1995.0,American Chemical Society (ACS)
10.1021/jm960689b,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm00076a005,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm960093o,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1073/pnas.92.8.3298,Proceedings of the National Academy of Sciences,1995.0,Proceedings of the National Academy of Sciences
10.1021/jm0004291,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm9503613,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950692f,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm9508651,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm960789h,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm970366v,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm960879m,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1021/jm970641d,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm9903949,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm9804681,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm049864b,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm980658b,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm00069a003,Journal of Medicinal Chemistry,1993.0,American Chemical Society (ACS)
10.1021/jm00031a009,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm00039a016,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1021/jm980398y,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm00040a015,Journal of Medicinal Chemistry,1994.0,American Chemical Society (ACS)
10.1016/s0968-0896(99)00127-3,Bioorganic &amp; Medicinal Chemistry,1999.0,Elsevier BV
10.1021/jm000148t,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1016/0968-0896(96)00130-7,Bioorganic &amp; Medicinal Chemistry,1996.0,Elsevier BV
10.1016/s0968-0896(98)00004-2,Bioorganic &amp; Medicinal Chemistry,1998.0,Elsevier BV
10.1021/jm00110a022,Journal of Medicinal Chemistry,1991.0,American Chemical Society (ACS)
10.1021/jm00130a020,Journal of Medicinal Chemistry,1989.0,American Chemical Society (ACS)
10.1016/0968-0896(96)00107-1,Bioorganic &amp; Medicinal Chemistry,1996.0,Elsevier BV
10.1016/j.bmc.2004.10.042,Bioorganic &amp; Medicinal Chemistry,2005.0,Elsevier BV
10.1021/jm000206a,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm000420z,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm0102250,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm0005555,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1021/jm000161d,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm990345w,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm011022e,Journal of Medicinal Chemistry,2002.0,American Chemical Society (ACS)
10.1021/bi0488799,Biochemistry,2004.0,American Chemical Society (ACS)
10.1016/j.bmcl.2003.12.008,Bioorganic &amp; Medicinal Chemistry Letters,2004.0,Elsevier BV
10.1021/jm970479e,Journal of Medicinal Chemistry,1997.0,American Chemical Society (ACS)
10.1016/j.bmc.2005.01.042,Bioorganic &amp; Medicinal Chemistry,2005.0,Elsevier BV
10.1021/jm0303406,Journal of Medicinal Chemistry,2004.0,American Chemical Society (ACS)
10.1021/jm000372i,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm0204183,Journal of Medicinal Chemistry,2003.0,American Chemical Society (ACS)
10.1074/jbc.M606873200,Journal of Biological Chemistry,2006.0,Elsevier BV
10.1021/jm9909443,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm9904295,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1021/jm9906116,Journal of Medicinal Chemistry,2000.0,American Chemical Society (ACS)
10.1021/jm970374b,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm980162u,Journal of Medicinal Chemistry,1998.0,American Chemical Society (ACS)
10.1021/jm010277p,Journal of Medicinal Chemistry,2001.0,American Chemical Society (ACS)
10.1016/j.bmc.2004.11.045,Bioorganic &amp; Medicinal Chemistry,2005.0,Elsevier BV
10.1021/jm990229t,Journal of Medicinal Chemistry,1999.0,American Chemical Society (ACS)
10.1016/j.bmc.2004.08.050,Bioorganic &amp; Medicinal Chemistry,2004.0,Elsevier BV
10.1016/s0960-894x(02)00364-5,Bioorganic &amp; Medicinal Chemistry Letters,2002.0,Elsevier BV
10.1021/jm960225d,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
10.1021/jm950727b,Journal of Medicinal Chemistry,1996.0,American Chemical Society (ACS)
